_id,cluster_id,stock_item_name
60c003008e856402218b5ef2,eiewg,EiEWG: Tents (24 sq.m)
60c003008e856402218b5ef3,esnfi,Cash for Shelter - Communal Shelters
60c003008e856402218b5ef4,esnfi,Cash for Partial Repair - Minor
60c003008e856402218b5ef5,esnfi,Emergency Shelter Repair Kits Mixed (Cash + In-Kind)
60c003008e856402218b5ef6,esnfi,Communal Shelter Construction
60c003008e856402218b5ef7,esnfi,Minor Shelter Repair - Kits
60c003008e856402218b5ef8,esnfi,Rehabilitation of Communal Existing Structure
60c003008e856402218b5ef9,esnfi,Transitional Shelter Construction (Poles+CGI)
60c003008e856402218b5efa,esnfi,Transitional Shelter Construction (Tukul-Poles+Grass)
60c003008e856402218b5efb,esnfi,Transitional Shelter Construction (Tukul-Mud Bricks)
60c003008e856402218b5efc,esnfi,Non-Food Items (NFI) In-Kind
60c003008e856402218b5efd,esnfi,Non-Food Items (NFI) In-Cash
60c003008e856402218b5efe,esnfi,Construction of Communal Facility
60c003008e856402218b5eff,esnfi,Emergency Shelter Kit
60c003008e856402218b5f00,esnfi,Emergency Shelter Construction
60c003008e856402218b5f01,esnfi,Non-Food Items (NFI) Mixed
