_id,admin0pcode,cluster,cluster_id,details,remarks,stock_item_name,stock_item_type
60c003008e856402218b5ebe,AF,ESNFI,esnfi,,,ESNFI: Glass for Tea,esnfi_glass
60c003008e856402218b5ebf,AF,ESNFI,esnfi,,,ESNFI: Plastic Rope (30m / 6-10 mm Diameter),esnfi_plastic_rope
60c003008e856402218b5ec0,AF,ESNFI,esnfi,,,ESNFI: Pump Spares (PVC Filter Pipe 6' Class D (26.28 KG)),esnfi_pump_spares_pvc_pipe_67_inch
60c003008e856402218b5ec1,AF,ESNFI,esnfi,,,ESNFI: Pump Spares (PVC Pipe 63 MM Class E),esnfi_pump_spares_pvc_pipe_63_mm
60c003008e856402218b5ec2,AF,ESNFI,esnfi,,,ESNFI: Rope,esnfi_rope
60c003008e856402218b5ec3,AF,ESNFI,esnfi,,,ESNFI: Plastic Mat,esnfi_plastic_mat
60c003008e856402218b5ec4,AF,ESNFI,esnfi,,,ESNFI: Shovel (Iron with Wood Handle),esnfi_shovel
60c003008e856402218b5ec5,AF,ESNFI,esnfi,,,ESNFI: Sisal Rope (100m),esnfi_sisal_rope
60c003008e856402218b5ec6,AF,ESNFI,esnfi,,,ESNFI: Sanitry Napkins,esnfi_sanitry_napkins
60c003008e856402218b5ec7,AF,ESNFI,esnfi,,,ESNFI: Soap (Handwash),esnfi_soap_handwash
60c003008e856402218b5ec8,AF,ESNFI,esnfi,,,ESNFI: Spoon,esnfi_spoon
60c003008e856402218b5ec9,AF,ESNFI,esnfi,,,ESNFI: Tarpaulin,esnfi_tarapaulin
60c003008e856402218b5eca,AF,ESNFI,esnfi,,,ESNFI: Wheelbarrow/Zambil,esnfi_wheelbarrow
60c003008e856402218b5ecb,AF,ESNFI,esnfi,,,ESNFI: Tea Pot,esnfi_tea_pot
60c003008e856402218b5ecc,AF,ESNFI,esnfi,,,ESNFI: Window,esnfi_window
60c003008e856402218b5ecd,AF,ESNFI,esnfi,,,ESNFI: Wood,esnfi_wood
60c003008e856402218b5ece,AF,Protection,protection,,,Protection: Dignity Kit,protection_dignity_kit
60c003008e856402218b5ecf,AF,FSAC,fsac,,,FSAC: Cash,fsac_cash
60c003008e856402218b5ed0,AF,FSAC,fsac,,,FSAC: Food Package,fsac_food_package
60c003008e856402218b5ed1,AF,FSAC,fsac,,,FSAC: Wheat,fsac_wheat
60c003008e856402218b5ed2,AF,FSAC,fsac,,,FSAC: Wheat Flour,fsac_wheat_flour
60c003008e856402218b5ed3,AF,FSAC,fsac,,,FSAC: Oil,fsac_oil
60c003008e856402218b5ed4,AF,FSAC,fsac,,,FSAC: Pulses,fsac_pulses
60c003008e856402218b5ed5,AF,FSAC,fsac,,,FSAC: Salt,fsac_salt
60c003008e856402218b5ed6,AF,FSAC,fsac,,,FSAC: Rice,fsac_rice
60c003008e856402218b5ed7,AF,FSAC,fsac,,,FSAC: Seed,fsac_seed
60c003008e856402218b5ed8,AF,FSAC,fsac,,,FSAC: HEB,fsac_heb
60c003008e856402218b5ed9,AF,FSAC,fsac,,,FSAC: RUSF,fsac_rusf
60c003008e856402218b5eda,AF,FSAC,fsac,,,FSAC: MNT,fsac_mnt
60c003008e856402218b5edb,AF,FSAC,fsac,,,FSAC: Other,fsac_other
60c003008e856402218b5edc,AF,EiEWG,eiewg,,,EiEWG: Classroom Kits,classroom_kits
60c003008e856402218b5edd,AF,EiEWG,eiewg,,,EiEWG: EiE Kits,eie_kits
60c003008e856402218b5ede,AF,EiEWG,eiewg,,,EiEWG: Recreational Kits,recreational_kits
60c003008e856402218b5edf,AF,EiEWG,eiewg,,,EiEWG: School in Box Kits,school_in_box_kits
60c003008e856402218b5ee0,AF,EiEWG,eiewg,,,EiEWG: Startup Kits,startup_kits
60c003008e856402218b5ee1,AF,Protection,protection,,,Protection: Tent,protection_tents
60c003008e856402218b5ee2,AF,EiEWG,eiewg,,,EiEWG: Student Bags,student_bags
60c003008e856402218b5ee3,AF,EiEWG,eiewg,,,EiEWG: Students Kits,student_kits
60c003008e856402218b5ee4,AF,EiEWG,eiewg,,,EiEWG: Top up Kits,top_up_kits
60c003008e856402218b5ee5,AF,EiEWG,eiewg,,,EiEWG: Text Books,text_books
60c003008e856402218b5ee6,AF,EiEWG,eiewg,,,EiEWG: Teacher Kits,teacher_kits
60c003008e856402218b5ee7,AF,EiEWG,eiewg,,,EiEWG: Teching Kits,teaching_kits
60c003008e856402218b5ee8,AF,EiEWG,eiewg,,,EiEWG: Reading Kits,reading_kits
60c003008e856402218b5ee9,AF,EiEWG,eiewg,,,EiEWG: Tents (72 sq.m),tents_72_sq_m
60c003008e856402218b5eea,AF,EiEWG,eiewg,,,EiEWG: Tents Other,tents_other
60c003008e856402218b5eeb,ET,ESNFI,esnfi,,1,ESNFI in Cash,esnfi_in_cash
60c003008e856402218b5eec,ET,ESNFI,esnfi,,1,ESNFI Mixed (Cash+In-Kind),esnfi_mixed_cash_in_kind
60c003008e856402218b5eed,ET,ESNFI,esnfi,,1,ESNFI In-Kind,esnfi_in_kind
